Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações
FTMOR DV LEA,BFDL,ÍNDICE DE LÍDERES DE DIVIDENDOS MORNINGSTAR FIRST TRUST,BOLSA,Homologado,000,10/06/2021,0,195.400.000,195.400.000
FT NSQ VERDE,BQCL,ÍNDICE DE ENERGIA VERDE FIRST TRUST NASDAQ CLEAN EDGE,BOLSA,Homologado,000,20/01/2022,0,324.400.000,324.400.000
FT NASDCYBER,BCIR,ETF DE SEGURANÇA CIBERNÉTICA FIRST TRUST NASDAQ,BOLSA,Homologado,000,10/06/2021,0,417.250.000,417.250.000
FT NASD100EQ,BQQW,PRIMEIRO FUNDO DE ÍNDICE DE PESO IGUAL NASDAQ-100,BOLSA,Homologado,000,10/06/2021,0,112.500.000,112.500.000
FT NASD100TC,BQTC,ÍNDICE DO SETOR DE TECNOLOGIA NASDAQ-100 FIRST TRUST,BOLSA,Homologado,000,10/06/2021,0,341.250.000,341.250.000
FT NAT GAS,BFCG,FIRST TRUST NATURAL GAS ETF,BOLSA,Homologado,000,10/06/2021,0,34.396.740,34.396.740
FT NYSE BIOT,BFBI,FIRST TRUST NYSE ARCA BIOTECHNOLOGY INDEX FUND,BOLSA,Homologado,000,11/06/2021,0,228.000.000,228.000.000
FT RISIDIVID,BFDA,FIRST TRUST RISING DIVIDEND ACHIEVERS ETF,BOLSA,Homologado,000,10/06/2021,0,476.500.000,476.500.000
FT TECH ALPH,BFTA,FIRST TRUST TECHNOLOGY ALPHADEX FUND,BOLSA,Homologado,000,10/06/2021,0,314.325.000,314.325.000
FT EQ OPPORT,BFPX,FIRST TRUST US EQUITY OPPORTUNITIES ETF,BOLSA,Homologado,000,10/06/2021,0,238.500.000,238.500.000
FT VLINE DIV,BFVD,FIRST TRUST VALUE LINE DIVIDEND INDEX FUND,BOLSA,Homologado,000,10/06/2021,0,1.182.563.600,1.182.563.600
FLEURY,FLRY,FLEURY S.A.,NOVO MERCADO,Homologado,"2.762.949.636,54",05/09/2023,547.191.026,0,547.191.026
FRAS-LE,FRAS,FRAS-LE S.A.,BOVESPA NIVEL 1,Homologado,"1.229.400.001,32",07/04/2022,270.016.343,0,270.016.343
GAFISA,GFSA,GAFISA S.A.,NOVO MERCADO,Homologado,"1.416.121.692,66",20/09/2023,63.260.176,0,63.260.176
GAIA AGRO,GAFL,GAIA IMPACTO SECURITIZADORA S.A.,BOLSA,Homologado,"1.190.148,00",14/12/2020,1.190.148,0,1.190.148
FIAGRO GLPG,GCRA,GALÁPAGOS RECEBÍVEIS DO AGRONEGÓCIO FIAGRO-IMOB,BOLSA,Homologado,200,07/06/2022,0,1.750.865,1.750.865
GAMA PART,OPGM,GAMA PARTICIPACOES S.A.,BOLSA,Homologado,"1.320.950,34",27/04/2015,1.935.716,0,1.935.716
GENERALSHOPP,GSHP,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,BOLSA,Homologado,"389.625.569,00",11/12/2019,1.928.769,0,1.928.769
GERDAU,GGBR,GERDAU S.A.,BOVESPA NIVEL 1,Homologado,"20.289.409.000,00",28/02/2023,600.526.442,1.156.540.608,1.757.067.050
GETNINJAS,NINJ,GETNINJAS S.A.,NOVO MERCADO,Homologado,"298.217.915,68",31/08/2023,50.797.017,0,50.797.017
GX AI TECH,BAIQ,GLOBAL X ARTIFICIAL INTELLIGENCE & TECHNOLOGY ETF,BOLSA,Homologado,000,16/08/2023,0,54.060.000,54.060.000
GX AEVEHICLE,BDRI,GLOBAL X AUTONOMOUS & ELECTRIC VEHICLES ETF,BOLSA,Homologado,000,06/11/2021,0,38.270.000,38.270.000
GX BLOCKCHAI,BKCH,GLOBAL X BLOCKCHAIN ETF,BOLSA,Homologado,000,18/12/2022,0,5.535.000,5.535.000
GX CANNABIS,BPOT,GLOBAL X CANNABIS ETF,BOLSA,Homologado,000,31/08/2022,0,6.896.700,6.896.700
GX CLEANCH,BCTE,GLOBAL X CLEANTECH ETF,BOLSA,Homologado,000,23/09/2022,0,15.400.000,15.400.000
GX CLOUD CPT,BCLO,GLOBAL X CLOUD COMPUTING ETF,BOLSA,Homologado,000,22/11/2021,0,48.050.000,48.050.000
GX CONSCIUCO,BKRM,GLOBAL X CONSCIOUS COMPANIES ETF,BOLSA,Homologado,000,11/11/2022,0,68.430.000,68.430.000
GX COPPER MN,BCPX,GLOBAL X COPPER MINERS ETF,BOLSA,Homologado,000,22/11/2021,0,26.239.370,26.239.370
GX CYBERSECT,BBUG,GLOBAL X CYBERSECURITY ETF,BOLSA,Homologado,000,23/11/2021,0,32.350.000,32.350.000
GX FINTECH,BFNX,GLOBAL X FINTECH ETF,BOLSA,Homologado,000,22/11/2021,0,28.000.000,28.000.000
GX GENOMBIOT,BGNO,GLOBAL X GENOMICS & BIOTECHNOLOGY ETF,BOLSA,Homologado,000,23/09/2022,0,32.760.000,32.760.000
GX INTERTHGS,BSNS,GLOBAL X INTERNET OF THINGS ETF,BOLSA,Homologado,000,23/09/2022,0,42.360.000,42.360.000
GX LITHIUM B,BLBT,GLOBAL X LITHIUM & BATTERY TECH ETF,BOLSA,Homologado,000,22/11/2021,0,61.164.630,61.164.630
GX MILLECONM,BMIL,GLOBAL X MILLENNIAL CONSUMER ETF,BOLSA,Homologado,000,23/09/2022,0,15.360.000,15.360.000
GX MLP EN IN,BLPX,GLOBAL X MLP & ENERGY INFRASTRUCTURE ETF,BOLSA,Homologado,000,22/11/2021,0,21.227.510,21.227.510
GX MLP ETF,BLPA,GLOBAL X MLP ETF,BOLSA,Homologado,000,06/11/2021,0,29.178.640,29.178.640
GX MSCICHINA,BCHQ,GLOBAL X MSCI CHINA CONSUMER DISCRETIONARY ETF,BOLSA,Homologado,000,06/11/2021,0,21.530.000,21.530.000
GX MSCICHIFL,BHIX,GLOBAL X MSCI CHINA FINANCIALS ETF,BOLSA,Homologado,000,31/08/2022,0,2.970.000,2.970.000
GX NASDAQ100,BQYL,GLOBAL X NASDAQ 100 COVERED CALL ETF,BOLSA,Homologado,000,22/11/2021,0,225.660.000,225.660.000
GX ROBOTC AI,BOTZ,GLOBAL X ROBOTICS & ARTIFICIAL INTELLIGENCE ETF,BOLSA,Homologado,000,22/11/2021,0,74.440.000,74.440.000
GX RUS2000CC,BRYL,GLOBAL X RUSSELL 2000 COVERED CALL ETF,BOLSA,Homologado,000,31/08/2022,0,134.140.000,134.140.000
GX CATHOLVAL,BCAT,GLOBAL X S&P 500 CATHOLIC VALUES ETF,BOLSA,Homologado,000,11/11/2022,0,58.450.000,58.450.000
GX SP 500 CC,BXYL,GLOBAL X S&P 500 COVERED CALL ETF,BOLSA,Homologado,000,31/08/2022,0,189.880.000,189.880.000
GX SILVER MN,BSIL,GLOBAL X SILVER MINERS ETF,BOLSA,Homologado,000,06/11/2021,0,28.637.320,28.637.320
GX SOCIAL MD,BSOC,GLOBAL X SOCIAL MEDIA ETF,BOLSA,Homologado,000,23/11/2021,0,6.420.000,6.420.000
GX SUPERDIVD,BSDV,GLOBAL X SUPERDIVIDEND ETF,BOLSA,Homologado,000,12/12/2022,0,60.439.396,60.439.396
GX SUDIVREIT,BSRE,GLOBAL X SUPERDIVIDEND REIT ETF,BOLSA,Homologado,000,18/11/2022,0,13.013.203,13.013.203
GX SUPDIV US,BDVD,GLOBAL X SUPERDIVIDEND US ETF,BOLSA,Homologado,000,06/11/2021,0,33.260.000,33.260.000
GX TLMEDC DH,BEDC,GLOBAL X TELEMEDICINE & DIGITAL HEALTH ETF,BOLSA,Homologado,000,06/11/2021,0,31.500.000,31.500.000
GX URANIUM,BURA,GLOBAL X URANIUM ETF,BOLSA,Homologado,000,06/11/2021,0,49.781.670,49.781.670
GX INFRA DEV,BPVE,GLOBAL X US INFRASTRUCTURE DEVELOPMENT ETF,BOLSA,Homologado,000,22/11/2021,0,182.830.000,182.830.000
GX USPREFERR,BPFR,GLOBAL X US PREFERRED ETF,BOLSA,Homologado,000,11/11/2022,0,214.180.000,214.180.000
GX VAR RTPRF,BPFV,GLOBAL X VARIABLE RATE PREFERRED ETF,BOLSA,Homologado,000,11/11/2022,0,24.060.000,24.060.000
GX GAMES SPT,BHER,GLOBAL X VIDEO GAMES & ESPORTS ETF,BOLSA,Homologado,000,22/11/2021,0,16.230.000,16.230.000
GOL,GOLL,GOL LINHAS AEREAS INTELIGENTES S.A.,BOVESPA NIVEL 2,Homologado,"4.198.155.613,08",26/07/2023,2.863.682.500,336.919.404,3.200.601.904
GPS,GGPS,GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,NOVO MERCADO,Homologado,"1.738.166.503,05",16/03/2023,672.170.267,0,672.170.267
GRAZZIOTIN,CGRA,GRAZZIOTIN S.A.,BOLSA,Homologado,"421.039.802,56",29/05/2023,8.347.011,11.722.684,20.069.695
FIAGRO GRWA,GRWA,GREENWICH AGRO FIAGRO - IMOBILIÁRIO,BOLSA,Homologado,"12.671.000,00",28/12/2022,0,1.267.100,1.267.100
GRENDENE,GRND,GRENDENE S.A.,NOVO MERCADO,Homologado,"1.231.301.604,46",23/04/2018,902.160.000,0,902.160.000
CASAS BAHIA,BHIA,GRUPO CASAS BAHIA S.A.,NOVO MERCADO,Homologado,"5.449.626.427,48",13/09/2023,2.377.080.572,0,2.377.080.572
GRUPO SOMA,SOMA,GRUPO DE MODA SOMA S.A.,NOVO MERCADO,Homologado,"4.155.810.711,64",14/09/2021,784.747.373,0,784.747.373
GRUPO MATEUS,GMAT,GRUPO MATEUS S.A.,NOVO MERCADO,Homologado,"4.963.115.636,51",12/11/2020,2.209.346.079,0,2.209.346.079
GRUPO SBF,SBFG,GRUPO SBF SA,NOVO MERCADO,Homologado,"1.934.144.922,61",04/08/2023,243.688.980,0,243.688.980
GUARARAPES,GUAR,GUARARAPES CONFECCOES S.A.,NOVO MERCADO,Homologado,"3.100.000.000,00",30/04/2019,499.200.000,0,499.200.000
HAGA S/A,HAGA,HAGA S.A. INDUSTRIA E COMERCIO,BOLSA,Homologado,"10.353.000,00",30/04/2009,3.966.667,7.933.333,11.900.000
HAPVIDA,HAPV,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,NOVO MERCADO,Homologado,"39.121.274.251,98",12/04/2023,7.539.463.263,0,7.539.463.263
HBR REALTY,HBRE,HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A,NOVO MERCADO,Homologado,"1.321.141.551,38",22/01/2021,103.188.981,0,103.188.981
FIAGRO HEDGE,HCRA,HEDGE CRÉDITO AGRO FIAGRO-DIREITOS CREDITÓRIOS,BOLSA,Homologado,200,12/07/2023,0,800.000,800.000
HELBOR,HBOR,HELBOR EMPREENDIMENTOS S.A.,NOVO MERCADO,Homologado,"1.310.225.371,46",10/07/2020,133.851.072,0,133.851.072
HERCULES,HETA,HERCULES S.A. FABRICA DE TALHERES,BOLSA,Homologado,"15.300.000,00",28/08/2015,171.198,338.801,509.999
HIDROVIAS,HBSA,HIDROVIAS DO BRASIL S.A.,NOVO MERCADO,Homologado,"1.359.468.724,73",29/07/2020,760.382.643,0,760.382.643
FIAGRO HIGH,HGAG,HIGH FUNDO DE INVESTIMENTO AGRO FIAGRO IMOB,BOLSA,Homologado,100,18/08/2023,0,248.252,248.252
HMOBI S.A,HMOB,HMOBI PARTICIPAÇÕES S.A.,BOLSA,Homologado,"1.834.130.255,00",08/11/2021,1.834.130.255,0,1.834.130.255
MATER DEI,MATD,HOSPITAL MATER DEI S/A,NOVO MERCADO,Homologado,"1.355.181.784,70",29/10/2021,382.329.821,0,382.329.821
HOTEIS OTHON,HOOT,HOTEIS OTHON S.A.,BOLSA,Homologado,"31.984.164,60",12/08/2015,10.477.917,7.894.494,18.372.411
AGRIBRASIL,GRAO,HUMBERG AGRIBRASIL COM. E EXPORT. DE GRÃOS S.A.,MAIS,Homologado,"69.136.101,62",15/08/2023,95.863.294,0,95.863.294
HYPERA,HYPE,HYPERA S.A.,NOVO MERCADO,Homologado,"4.478.126.287,55",24/11/2020,633.420.823,0,633.420.823
IGUA SA,IGSN,IGUA SANEAMENTO S.A.,MAIS,Homologado,"2.984.373.085,55",12/07/2021,427.804.422,0,427.804.422
IGUATEMI,IGTA,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,BOLSA,Homologado,"2.304.251.097,90",31/08/2022,174.487.063,0,174.487.063
IGUATEMI S.A,IGTI,IGUATEMI S.A.,BOVESPA NIVEL 1,Homologado,"1.819.551.808,97",01/02/2023,785.167.052,439.642.726,1.224.809.778
INEPAR,INEP,INEPAR S.A. INDUSTRIA E CONSTRUCOES,BOLSA,Homologado,"526.969.061,91",29/09/2023,30.800.736,12.627.232,43.427.968
INFRACOMM,IFCM,INFRACOMMERCE CXAAS S.A.,NOVO MERCADO,Homologado,"1.655.951.001,48",19/06/2023,387.335.513,0,387.335.513
INTELBRAS,INTB,INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,NOVO MERCADO,Homologado,"1.700.000.000,00",18/04/2023,327.611.110,0,327.611.110
FIAGRO IAAG,IAAG,INTER AMERRA - FIAGRO - IMOBILIÁRIO,BOLSA,Homologado,100,04/07/2023,0,5.448.766,5.448.766
INTER SA,INNT,INTER CONSTRUTORA E INCORPORADORA S.A.,MAIS,Homologado,"87.206.313,34",31/03/2020,86.885.349,0,86.885.349
FIC INTER,BIDB,INTER INFRA FIC INFRA RENDA FIXA CRÉDITO PRIVADO,BOLSA,Homologado,100,05/10/2021,0,1.345.099,1.345.099
IMC S/A,MEAL,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,NOVO MERCADO,Homologado,"1.170.478.915,19",21/07/2020,286.369.530,0,286.369.530
FIP INSTITUT,OPEQ,INVESTIDORES INSTITUCIONAIS FDO INV PART MULTIESTR,SOMA,Homologado,100,09/01/2023,0,728.975,728.975
INVEST BEMGE,FIGE,INVESTIMENTOS BEMGE S.A.,BOLSA,Homologado,"123.144.439,42",30/04/2015,792.124,1.571.812,2.363.936
INVEPAR,IVPR,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,SOMA,Homologado,"3.867.919.940,30",28/04/2017,143.057.124,286.114.248,429.171.372
INVESTO BNDX,BNDX,INVESTO BLOOMBERG GLOBAL BOND ETF FDO INV IND - IE,BOLSA,Homologado,100,27/01/2022,0,10.000,10.000
INVESTO USDB,USDB,INVESTO BLOOMBERG US BOND ETF FDO INV IND - IE,BOLSA,Homologado,100,27/01/2022,0,10.000,10.000
INVESTO NTNS,NTNS,INVESTO TEVA TESOURO IPCA+ 0 A 4 ANOS ETF FDO IND,BOLSA,Homologado,100,19/06/2023,0,25.000,25.000
INVESTO LFTS,LFTS,INVESTO TEVA TESOURO SELIC ETF FDO INV INDICE,BOLSA,Homologado,100,08/11/2022,0,50.000,50.000
IOCHP-MAXION,MYPK,IOCHPE MAXION S.A.,NOVO MERCADO,Homologado,"1.576.954.290,05",24/06/2019,153.719.601,0,153.719.601
IRANI,RANI,IRANI PAPEL E EMBALAGEM S.A.,NOVO MERCADO,Homologado,"566.894.847,81",17/08/2022,246.359.319,0,246.359.319
IRBBRASIL RE,IRBR,IRB - BRASIL RESSEGUROS S.A.,NOVO MERCADO,Homologado,"5.453.080.000,00",22/12/2022,82.263.011,1,82.263.012
BKR 0 3M TRS,BSGO,ISHARES 0-3 MONTH TREASURY BOND ETF,BOLSA,Homologado,000,22/11/2022,0,562.000.000,562.000.000
BKR 0 5 YRHY,BHYC,ISHARES 0-5 YEAR HIGH YIELD CORPORATE BOND ETF,BOLSA,Homologado,000,22/11/2022,0,696.400.000,696.400.000
BKR STIP,BSTI,ISHARES 0-5 YEAR TIPS BOND ETF,BOLSA,Homologado,000,25/04/2023,0,1.272.000.000,1.272.000.000
BKR 1 3 YRTR,BSHY,ISHARES 1-3 YEAR TREASURY BOND ETF,BOLSA,Homologado,000,08/02/2022,0,2.011.200.000,2.011.200.000
BKR 1 5YGRCO,BIGS,ISHARES 1-5 YEAR INVESTM GRADE CORPORATE BOND ETF,BOLSA,Homologado,000,22/11/2022,0,2.283.250.000,2.283.250.000
BKR 20YR TRS,BTLT,ISHARES 20 YEAR TREASURY BOND ETF,BOLSA,Homologado,000,08/02/2022,0,1.641.000.000,1.641.000.000
BKR 3 7 YRTR,BIEI,ISHARES 3-7 YEAR TREASURY BOND ETF,BOLSA,Homologado,000,08/02/2022,0,986.400.000,986.400.000
BKR 7 10 YRT,BIYT,ISHARES 7-10 YEAR TREASURY BOND ETF,BOLSA,Homologado,000,08/02/2022,0,1.398.000.000,1.398.000.000
BKR A RATED,BQLT,ISHARES AAA - A RATED CORPORATE BOND ETF,BOLSA,Homologado,000,25/04/2023,0,91.750.000,91.750.000
ICE BIOTECH,BIBB,ISHARES BIOTECHNOLOGY ETF,BOLSA,Homologado,000,23/04/2021,0,993.000.000,993.000.000
CHINALARGECA,BFXI,ISHARES CHINA LARGE-CAP ETF,BOLSA,Homologado,000,19/04/2021,0,463.500.000,463.500.000
BKR CNVTIBLE,BICV,ISHARES CONVERTIBLE BOND ETF,BOLSA,Homologado,000,25/04/2023,0,132.000.000,132.000.000
BKR AGR ALOC,BAOA,ISHARES CORE AGGRESSIVE ALLOCATION ETF,BOLSA,Homologado,000,25/04/2023,0,143.700.000,143.700.000
BKR CSV ALOC,BAOK,ETF DE ALOCAÇÃO CONSERVADORA ISHARES CORE,BOLSA,Homologado,000,25/04/2023,0,78.600.000,78.600.000
COREDIVGROWT,BGWH,ISHARES CORE DIVIDEND GROWTH ETF,BOLSA,Homologado,000,19/04/2021,0,1.824.500.000,1.824.500.000
BKR GRO ALOC,BAOR,ETF DE ALOCAÇÃO DE CRESCIMENTO PRINCIPAL ISHARES,BOLSA,Homologado,000,25/04/2023,0,183.500.000,183.500.000
BKR NÚCLEO HDV,BHDV,ISHARES CORE HIGH DIVIDEND ETF,BOLSA,Homologado,000,12/07/2022,0,1.298.000.000,1.298.000.000
BKR MOD ALOC,BAOM,ISHARES CORE ALOCAÇÃO MODERADA ETF,BOLSA,Homologado,000,25/04/2023,0,135.200.000,135.200.000
COREMSCIEAFE,BIEF,ISHARES CORE MSCI EAFE ETF,BOLSA,Homologado,000,22/04/2021,0,9.780.800.000,9.780.800.000
COREMSCI EMK,BIEM,ISHARES CORE MSCI ETF DE MERCADOS EMERGENTES,BOLSA,Homologado,000,22/04/2021,0,7.336.800.000,7.336.800.000
COREMSCI EUR,BIEU,ISHARES CORE MSCI EUROPA ETF,BOLSA,Homologado,000,22/04/2021,0,400.200.000,400.200.000
BKR CORPACIF,BIPC,ISHARES CORE MSCI PACIFIC ETF,BOLSA,Homologado,000,22/11/2022,0,151.500.000,151.500.000
NÚCLEO SP 500,BIVB,ISHARES CORE S&P 500 ETF,BOLSA,Homologado,000,22/04/2021,0,26.368.000.000,26.368.000.000
NÚCLEO MIDCAP,BIJH,ISHARES CORE S&P MID-CAP ETF,BOLSA,Homologado,000,22/04/2021,0,4.725.000.000,4.725.000.000
CORESMALLCAP,BIJR,ISHARES CORE S&P ETF DE PEQUENA CAPITALIZAÇÃO,BOLSA,Homologado,000,22/04/2021,0,5.023.200.000,5.023.200.000
NÚCLEO SP TOTA,BITO,ISHARES CORE S&P TOTAL ETF DO MERCADO DE AÇÕES DOS EUA,BOLSA,Homologado,000,22/04/2021,0,3.981.000.000,3.981.000.000
BKR CORE TOT,BIUS,ISHARES CORE TOTAL USD MERCADO DE TÍTULOS ETF,BOLSA,Homologado,000,12/04/2023,0,2.378.000.000,2.378.000.000
BKR AGGRE EUA,BAGG,ISHARES CORE ETF DE TÍTULOS AGREGADOS DOS EUA,BOLSA,Homologado,000,25/04/2023,0,8.911.000.000,8.911.000.000
CORE US REIT,BUSR,ISHARES CORE EUA REIT ETF,BOLSA,Homologado,000,20/04/2021,0,208.200.000,208.200.000
CURHEDGEMSCI,BHEF,ISHARES MOEDA HEDGE MSCI EAFE ETF,BOLSA,Homologado,000,20/04/2021,0,314.000.000,314.000.000
BKR CH EUROZ,BHEZ,ISHARES MOEDA HEDGE MSCI EUROZONE ETF,BOLSA,Homologado,000,22/11/2022,0,28.350.000,28.350.000
BKR CH JAPAN,BHEW,ISHARES CURRENCY HEDGED MSCI JAPAN ETF,BOLSA,Homologado,000,22/11/2022,0,32.200.000,32.200.000
BKR CYBTECH,BIHA,ISHARES CYBERSECURITY AND TECH ETF,BOLSA,Homologado,000,12/07/2022,0,44.100.000,44.100.000
BKR EMER DIV,BDVE,ISHARES EMERGING MARKETS DIVIDEND ETF,BOLSA,Homologado,000,25/04/2023,0,76.950.000,76.950.000
TRTMSCI EAFE,BEGD,ISHARES ESG AWARE MSCI EAFE ETF,BOLSA,Homologado,000,22/04/2021,0,545.600.000,545.600.000
INC ESG AWAR,BEGE,ISHARES ESG AWARE MSCI EM ETF,BOLSA,Homologado,000,22/04/2021,0,662.800.000,662.800.000
TRUSTMSCI US,BEGU,ISHARES ESG AWARE MSCI USA ETF,BOLSA,Homologado,000,22/04/2021,0,1.740.500.000,1.740.500.000
BKR ESG AGGR,BEAG,ISHARES ESG AWARE US AGGREGATE BOND ETF,BOLSA,Homologado,000,25/04/2023,0,286.500.000,286.500.000
BKR ESG AWCP,BSUC,ISHARES ESG AWARE USD CORPORATE BOND ETF,BOLSA,Homologado,000,12/04/2023,0,129.150.000,129.150.000
ESGMSCIUSA L,BSUS,ISHARES ESG MSCI USA LEADERS ETF,BOLSA,Homologado,000,20/04/2021,0,379.600.000,379.600.000
EUROPE ETF,BIEV,ISHARES EUROPE ETF,BOLSA,Homologado,000,20/04/2021,0,165.750.000,165.750.000
BKR TECHSOFT,BIET,ISHARES EXPANDED TECH-SOFTWARE SECTOR ETF,BOLSA,Homologado,000,22/11/2022,0,481.600.000,481.600.000
EXPON TECHNL,BXTC,ISHARES EXPONENTIAL TECHNOLOGIES ETF,BOLSA,Homologado,000,24/11/2020,0,324.900.000,324.900.000
BKR FLL ANGL,BFAL,ISHARES FALLEN ANGELS USD BOND ETF,BOLSA,Homologado,000,25/04/2023,0,187.650.000,187.650.000
BKR FLOAT RT,BFLO,ISHARES FLOATING RATE BOND ETF,BOLSA,Homologado,000,12/04/2023,0,761.500.000,761.500.000
BKR GENO IMM,BIDN,ISHARES GENOMICS IMMUNOLOGY AND HEALTHCARE ETF,BOLSA,Homologado,000,12/07/2022,0,12.800.000,12.800.000
BKR GL CLEAN,BICL,ISHARES GLOBAL CLEAN ENERGY ETF,BOLSA,Homologado,000,01/09/2021,0,533.800.000,533.800.000
BKR GB STAMP,BKXI,ISHARES GLOBAL CONSUMER STAPLES ETF,BOLSA,Homologado,000,12/07/2022,0,94.000.000,94.000.000
BKR GLB ENER,BIXC,ISHARES GLOBAL ENERGY ETF,BOLSA,Homologado,000,22/11/2022,0,217.800.000,217.800.000
BKR GL FIN,BIXG,ISHARES GLOBAL FINANCIALS ETF,BOLSA,Homologado,000,06/09/2021,0,302.400.000,302.400.000
GLOBALHEALTH,BIXJ,ISHARES GLOBAL HEALTHCARE ETF,BOLSA,Homologado,000,22/04/2021,0,282.000.000,282.000.000
GLOBAL INFRA,BIGF,ISHARES GLOBAL INFRASTRUCTURE ETF,BOLSA,Homologado,000,22/04/2021,0,272.000.000,272.000.000
GLOBAL REIT,BGRT,ISHARES GLOBAL REIT ETF,BOLSA,Homologado,000,20/04/2021,0,337.800.000,337.800.000
GLOBAL TECH,BIXN,ISHARES GLOBAL TECH ETF,BOLSA,Homologado,000,16/07/2021,0,2.358.000.000,2.358.000.000
GOLD TRUST,BIAU,ISHARES GOLD TRUST,BOLSA,Homologado,000,27/05/2021,0,3.379.000.000,3.379.000.000
BKR COMT ROL,BCOM,ISHARES GSCI COMMODITY DYNAMIC ROLL STRATEGY ETF,BOLSA,Homologado,000,25/04/2023,0,95.700.000,95.700.000
BKR IBOXX HY,BHYG,ISHARES IBOXX HIGH YIELD CORPORATE BOND ETF,BOLSA,Homologado,000,08/02/2022,0,1.729.600.000,1.729.600.000
BKR IBOX IGC,BLQD,ISHARES IBOXX INVESTMENT GRADE CORPORATE BOND ETF,BOLSA,Homologado,000,08/02/2022,0,2.786.000.000,2.786.000.000
BKR INTL SLD,BIDV,ISHARES INTERNATIONAL SELECT DIVIDEND ETF,BOLSA,Homologado,000,25/04/2023,0,535.500.000,535.500.000
BKR JP LOCAL,BLEM,ISHARES JP MORGAN EM LOCAL CURRENCY BOND ETF,BOLSA,Homologado,000,25/04/2023,0,55.200.000,55.200.000
LATIN AMER40,BILF,ISHARES LATIN AMERICA 40 ETF,BOLSA,Homologado,000,22/04/2021,0,192.750.000,192.750.000
BKR MBS,BMBB,ISHARES MBS ETF,BOLSA,Homologado,000,25/04/2023,0,2.790.000.000,2.790.000.000
BKR MORTGAGE,BMRE,ISHARES MORTGAGE REAL ESTATE ETF,BOLSA,Homologado,000,12/07/2022,0,53.500.000,53.500.000
MSCI ACWI,BACW,ISHARES MSCI ACWI ETF,BOLSA,Homologado,000,22/04/2021,0,1.664.000.000,1.664.000.000
BKR LOWCARBO,BCRB,ISHARES MSCI ACWI LOW CARBON TARGET ETF,BOLSA,Homologado,000,12/07/2022,0,73.800.000,73.800.000
BKR GBL AGRO,BVEG,ISHARES MSCI AGRICULTURE PRODUCERS ETF,BOLSA,Homologado,000,22/11/2022,0,29.400.000,29.400.000
MSCI ASIA JP,BAAX,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF,BOLSA,Homologado,000,22/04/2021,0,716.000.000,716.000.000
MSCIAUSTRALI,BEWA,ISHARES MSCI AUSTRALIA ETF,BOLSA,Homologado,000,20/04/2021,0,166.800.000,166.800.000
MSCI BRAZIL,BEWZ,ISHARES MSCI BRAZIL ETF,BOLSA,Homologado,000,22/04/2021,0,515.850.000,515.850.000
MSCI CANADA,BEWC,ISHARES MSCI CANADA ETF,BOLSA,Homologado,000,20/04/2021,0,437.200.000,437.200.000
BKR CHINA A,BCNY,ISHARES MSCI CHINA A ETF,BOLSA,Homologado,000,12/07/2022,0,47.850.000,47.850.000
MSCI CHINA,BCHI,ISHARES MSCI CHINA ETF,BOLSA,Homologado,000,22/04/2021,0,657.600.000,657.600.000
MSCI EAFE,BEFA,ISHARES MSCI EAFE ETF,BOLSA,Homologado,000,22/04/2021,0,5.755.200.000,5.755.200.000
MSCIEAFEGROW,BEFG,ISHARES MSCI EAFE GROWTH ETF,BOLSA,Homologado,000,20/04/2021,0,968.000.000,968.000.000
MSCIMINVOL F,BFAV,ISHARES MSCI EAFE MIN VOL FACTOR ETF,BOLSA,Homologado,000,20/04/2021,0,992.000.000,992.000.000
BKR MS EAFE,BSCZ,ISHARES MSCI EAFE SMALL-CAP ETF,BOLSA,Homologado,000,06/09/2021,0,1.569.600.000,1.569.600.000
MSCIEAFEVALU,BEFV,ISHARES MSCI EAFE VALUE ETF,BOLSA,Homologado,000,20/04/2021,0,1.473.600.000,1.473.600.000
MSCI EMGMARK,BEEM,ISHARES MSCI EMERGING MARKETS ETF,BOLSA,Homologado,000,22/04/2021,0,3.518.100.000,3.518.100.000
BKR EME XCHI,BEMC,ISHARES MSCI EMERGING MARKETS EX CHINA ETF,BOLSA,Homologado,000,25/04/2023,0,365.500.000,365.500.000
MSCIEMMRKMI,BEMV,ISHARES MSCI EMERGING MARKETS MIN VOL FACTOR ETF,BOLSA,Homologado,000,20/04/2021,0,381.000.000,381.000.000
BKR EURP FNC,BEUF,ISHARES MSCI EUROPE FINANCIALS ETF,BOLSA,Homologado,000,12/07/2022,0,126.100.000,126.100.000
MSCIEUROZONE,BEZU,ISHARES MSCI EUROZONE ETF,BOLSA,Homologado,000,22/04/2021,0,444.400.000,444.400.000
